Location,International Outlook Score
Algeria,36.58
Argentina,34.67
Australia,86.32
Austria,84.95
Azerbaijan,40.5
Bangladesh,34.84
Belgium,73.84
Botswana,63.7
Brazil,24.89
Brunei Darussalam,85.2
Bulgaria,32.55
Canada,72.99
Chile,50.5
China,30.02
Colombia,40.35
Costa Rica,48.1
Croatia,34.47
Cuba,51.0
Cyprus,78.6
Czech Republic,51.86
Denmark,80.76
Ecuador,51.71
Egypt,44.17
Estonia,68.9
Ethiopia,43.05
Fiji,69.0
Finland,60.34
France,68.38
Georgia,46.1
Germany,59.5
Ghana,48.1
Greece,38.44
Hong Kong,98.0
Hungary,45.91
Iceland,66.5
India,21.63
Indonesia,27.78
Iran,24.31
Iraq,25.61
Ireland,83.1
Israel,51.06
Italy,41.23
Jamaica,58.1
Japan,28.28
Jordan,50.4
Kazakhstan,63.47
Kenya,47.3
Latvia,53.65
Lebanon,79.38
Lithuania,54.82
Luxembourg,99.4
Malaysia,51.99
Malta,62.6
Mauritius,41.9
Mexico,28.9
Montenegro,46.0
Morocco,26.89
Mozambique,48.7
Namibia,64.2
Nepal,45.4
Netherlands,89.01
New Zealand,92.4
Nigeria,32.19
Northern Cyprus,92.5
Norway,73.13
Oman,74.9
Pakistan,43.7
Peru,42.5
Philippines,33.2
Poland,30.43
Portugal,57.97
Puerto Rico,46.7
Qatar,98.9
Romania,31.37
Saudi Arabia,74.95
Serbia,37.5
Singapore,94.5
Slovakia,45.93
Slovenia,53.13
South Africa,47.63
South Korea,36.31
Spain,47.72
Sri Lanka,38.65
Sweden,67.5
Switzerland,93.48
Taiwan,33.94
Tanzania,48.3
Thailand,32.03
Tunisia,42.7
Turkey,27.92
Uganda,57.6
Ukraine,31.59
United Arab Emirates,91.45
United Kingdom,82.82
United States,49.96
Venezuela,48.1
Vietnam,43.26
Zambia,49.9
Zimbabwe,50.0
