Location,Research Score,Teaching Score
Albania,,
Algeria,9.08,19.54
Argentina,9.83,16.67
Armenia,,
Australia,37.21,30.27
Austria,29.34,32.76
Azerbaijan,7.8,16.5
Bangladesh,10.14,15.52
Belgium,41.17,33.11
Botswana,12.6,16.5
Brazil,14.19,22.65
Brunei Darussalam,22.6,26.0
Bulgaria,9.7,21.25
Cambodia,,
Canada,35.73,32.07
Chile,13.67,16.09
China,24.12,26.13
Colombia,10.96,17.48
Costa Rica,9.0,18.2
Croatia,14.73,17.63
Cuba,11.3,23.3
Cyprus,16.7,23.7
Czech Republic,17.58,20.11
Denmark,41.6,31.61
Ecuador,9.06,14.73
Egypt,10.61,17.5
Estonia,18.8,19.7
Ethiopia,10.95,17.15
Fiji,16.3,15.8
Finland,35.83,29.19
France,27.18,31.7
Georgia,9.6,16.25
Germany,42.57,40.43
Ghana,15.6,14.7
Greece,16.83,17.68
Hong Kong,28.2,26.5
Hungary,13.91,22.76
Iceland,26.75,17.1
India,16.1,28.86
Indonesia,12.45,20.62
Iran,15.02,25.29
Iraq,8.76,18.8
Ireland,29.47,24.98
Israel,30.82,28.45
Italy,24.28,26.44
Jamaica,10.8,17.6
Japan,16.98,25.14
Jordan,11.38,20.7
Kazakhstan,10.33,21.67
Kenya,8.8,13.2
Kosovo,,
Kuwait,,
Kyrgyzstan,,
Latvia,20.23,18.55
Lebanon,14.66,29.22
Libya,,
Lithuania,14.46,19.38
Luxembourg,39.8,38.2
Malawi,,
Malaysia,18.49,23.68
Malta,16.7,19.6
Mauritius,10.0,16.4
Mexico,10.22,17.24
Moldova,,
Mongolia,,
Montenegro,11.5,13.0
Morocco,10.28,22.39
Mozambique,8.4,12.1
Namibia,8.0,13.3
Nepal,7.9,12.8
Netherlands,58.09,44.76
New Zealand,31.55,28.77
Nigeria,10.81,19.33
Northern Cyprus,15.8,21.55
Norway,27.6,28.13
Oman,18.4,23.1
Pakistan,12.12,18.95
Palestine,,
Paraguay,,
Peru,10.8,18.9
Philippines,13.05,26.9
Poland,14.92,20.79
Portugal,23.78,21.02
Puerto Rico,10.5,22.9
Qatar,38.7,27.0
Romania,11.14,17.32
Saudi Arabia,13.9,22.02
Serbia,17.47,19.77
Singapore,77.9,60.9
Slovakia,13.89,23.81
Slovenia,17.03,18.3
Somalia,,
South Africa,19.07,22.02
South Korea,29.22,30.26
Spain,19.32,21.29
Sri Lanka,9.25,23.1
Sudan,,
Sweden,40.58,30.42
Switzerland,41.83,41.32
Taiwan,21.6,19.49
Tanzania,10.25,15.45
Thailand,13.62,19.97
Tunisia,10.51,21.72
Turkey,13.94,19.16
Turkmenistan,,
Uganda,27.7,21.8
Ukraine,10.19,20.06
United Arab Emirates,18.5,22.85
United Kingdom,28.83,28.48
United States,36.54,41.9
Uruguay,,
Uzbekistan,,
Venezuela,7.8,15.9
Vietnam,10.54,15.36
Zambia,9.2,15.7
Zimbabwe,23.3,14.8
